Timestamp,Gender,AgeRange,What Social Media Platforms do you use?,SocialMediaTimes,Do you talk about your mental health on Social media?,MostHelpful,LeastHelpful,Have you faced a Mental health Issue?,How do you prefer to talk about your mental health?,Have you received support from friends because of something you posted on Social Media?,With whom do you talk on social media regarding your mental health?,OverallEffect,Did you come across any social media status that your friend has posted relating to his/her mental health during the Lockdown?,"If yes, then did you lend any support to such person?",Have you come across any suicidal status or any such status that any of your friend's have posted where he/she intends to do some harm to himself/herself during the Lockdown?,"If yes, then did you lend any support to such person?"
4/9/2021 15:48:38,Female,22-30 years old,"Facebook, Whatsapp, Instagram, Telegram, YouTube",3-6 hours,Yes,Instagram,LinkedIn,Yes,Face to Face,I haven't posted anything on social media regarding to my mental health,Friends(Whom you know Offline),Positive,Yes,Yes,No,NA
4/9/2021 16:50:10,Female,31-40 years old,"Facebook, Whatsapp, Instagram, YouTube",3-6 hours,No,Facebook,Facebook,No,I don't talk about it,I haven't posted anything on social media regarding to my mental health,I don't talk to anyone,No effect,Prefer not to say,NA,Prefer not to say,Yes
4/9/2021 20:27:58,Female,18-21 years old,"Facebook, Whatsapp, Instagram, Snapchat, YouTube",3-6 hours,No,Blogging sites,LinkedIn,Yes,Face to Face,I haven't posted anything on social media regarding to my mental health,Friends(Whom you know Offline),Negative,Yes,Yes,Prefer not to say,Yes
4/9/2021 21:08:28,Female,18-21 years old,"Facebook, Whatsapp, Instagram",3-6 hours,No,Facebook,LinkedIn,Prefer not to say,I don't talk about it,I haven't posted anything on social media regarding to my mental health,Friends(Whom you know Offline),No effect,Yes,Yes,No,NA
4/9/2021 21:15:27,Female,18-21 years old,"Facebook, Whatsapp, Instagram, Snapchat, Discord, YouTube",3-6 hours,No,Whatsapp,Facebook,Yes,I don't talk about it,I haven't posted anything on social media regarding to my mental health,Friends(Whom you know Offline),No effect,Yes,Yes,No,NA
4/9/2021 21:17:02,Female,18-21 years old,"Facebook, Whatsapp, Instagram, Snapchat, Discord, YouTube",6-8 hours,Yes,Blogging sites,Instagram,Yes,Face to Face,Yes,Friends(Whom you know Offline),Negative,Yes,Yes,Prefer not to say,NA
4/9/2021 21:52:04,Male,22-30 years old,"Facebook, Whatsapp, Instagram, Telegram, YouTube",3-6 hours,Yes,Facebook,Instagram,No,Social Media,I haven't posted anything on social media regarding to my mental health,Friends(Whom you know Offline),Positive,No,NA,No,NA
4/9/2021 21:52:25,Female,18-21 years old,"Facebook, Whatsapp, Instagram, Snapchat, Telegram, YouTube",6-8 hours,Yes,Instagram,Whatsapp,Prefer not to say,Face to Face,I haven't posted anything on social media regarding to my mental health,Friends(Whom you know Offline),Positive,Prefer not to say,NA,Prefer not to say,NA
4/11/2021 8:12:41,Male,41-60 years old,"Facebook, Whatsapp, Telegram",Less than 2 hours,No,Facebook,LinkedIn,Yes,Face to Face,I haven't posted anything on social media regarding to my mental health,Friends(Whom you know Offline),No effect,Yes,Yes,No,No
4/11/2021 16:10:05,Male,22-30 years old,"Whatsapp, Instagram, YouTube",Less than 2 hours,No,LinkedIn,Facebook,Yes,Face to Face,I haven't posted anything on social media regarding to my mental health,I don't talk to anyone,Negative,No,NA,No,NA
4/11/2021 16:23:54,Female,18-21 years old,"Facebook, Whatsapp, Instagram, Snapchat, Telegram, YouTube",6-8 hours,No,Instagram,Whatsapp,Yes,I don't talk about it,I haven't posted anything on social media regarding to my mental health,Friends(Whom you know Offline),Positive,Yes,Yes,No,NA
4/11/2021 16:25:46,Female,18-21 years old,"Facebook, Whatsapp, Instagram, Snapchat, Telegram, YouTube",3-6 hours,Yes,Instagram,YouTube,Prefer not to say,Face to Face,I haven't posted anything on social media regarding to my mental health,Friends(Whom you know Offline),Negative,Yes,Yes,No,NA
4/11/2021 16:43:13,Male,41-60 years old,"Facebook, Whatsapp, Instagram, YouTube",2-3 hours,No,Whatsapp,Instagram,Yes,Social Media,Yes,Friends(Whom you know Offline),Positive,Yes,Yes,No,No
4/11/2021 16:43:20,Male,41-60 years old,"Facebook, Whatsapp, Instagram, YouTube",2-3 hours,No,Whatsapp,Instagram,Yes,Social Media,Yes,Friends(Whom you know Offline),Positive,Yes,Yes,No,No
4/11/2021 17:17:35,Male,18-21 years old,"Facebook, Whatsapp, Instagram, Snapchat, YouTube",2-3 hours,No,YouTube,LinkedIn,Yes,Face to Face,I haven't posted anything on social media regarding to my mental health,Friends(Whom you know Offline),Negative,Yes,Yes,No,No
4/11/2021 20:05:04,Female,18-21 years old,"Whatsapp, Instagram, YouTube",Less than 2 hours,No,Whatsapp,Facebook,Yes,Face to Face,I haven't posted anything on social media regarding to my mental health,Friends(Whom you know Offline),No effect,Yes,Yes,No,NA
4/11/2021 20:32:47,Male,18-21 years old,"Facebook, Whatsapp, Instagram, Telegram, YouTube",Less than 2 hours,Yes,Whatsapp,YouTube,Yes,Social Media,I haven't posted anything on social media regarding to my mental health,Friends(Whom you know Offline),No effect,Yes,Yes,Yes,Yes
4/11/2021 20:43:33,Female,18-21 years old,"Whatsapp, Instagram, Snapchat, YouTube",6-8 hours,Yes,YouTube,Instagram,Yes,Face to Face,I haven't posted anything on social media regarding to my mental health,Friends(Whom you know Offline),Positive,Yes,No,No,NA
4/11/2021 20:49:54,Female,31-40 years old,"Facebook, Whatsapp, Instagram, Telegram, YouTube, Hangout, LinkedIn",2-3 hours,Yes,Whatsapp,Facebook,Yes,I don't talk about it,No,People you don't know,Positive,Yes,Yes,No,No
4/11/2021 20:58:18,Male,18-21 years old,"Facebook, Whatsapp, Instagram, Snapchat, Telegram, YouTube",3-6 hours,No,YouTube,Blogging sites,No,Face to Face,I haven't posted anything on social media regarding to my mental health,I don't talk to anyone,No effect,No,NA,No,NA
4/11/2021 20:59:54,Female,22-30 years old,"Whatsapp, Instagram, Snapchat, YouTube",3-6 hours,No,YouTube,Whatsapp,Prefer not to say,I don't talk about it,I haven't posted anything on social media regarding to my mental health,I don't talk to anyone,Negative,Yes,Yes,No,NA
4/11/2021 21:15:57,Female,22-30 years old,"Whatsapp, Instagram, Twitter",3-6 hours,No,Whatsapp,LinkedIn,No,I don't talk about it,I haven't posted anything on social media regarding to my mental health,I don't talk to anyone,No effect,Yes,No,No,NA
4/11/2021 22:32:45,Female,18-21 years old,"Facebook, Whatsapp, Instagram, Snapchat, YouTube",3-6 hours,Yes,Instagram,Facebook,Prefer not to say,Social Media,Yes,Friends(Whom you know Offline),Positive,Yes,Yes,Yes,Yes
4/12/2021 0:26:45,Male,18-21 years old,"Facebook, Whatsapp, Instagram, Snapchat, Telegram, YouTube",2-3 hours,No,None,Facebook,No,Face to Face,Yes,Friends(Whom you know Offline),No effect,Yes,Yes,Yes,No
4/14/2021 12:24:07,Male,41-60 years old,"Facebook, Whatsapp, YouTube",Less than 2 hours,No,Facebook,YouTube,No,Face to Face,I haven't posted anything on social media regarding to my mental health,I don't talk to anyone,Negative,No,Yes,No,Yes
4/14/2021 18:53:11,Male,18-21 years old,"Whatsapp, Instagram, YouTube",3-6 hours,Yes,None,Instagram,Yes,Face to Face,I haven't posted anything on social media regarding to my mental health,Friends(Whom you know Offline),Negative,No,No,No,No
